country_Andorra,country_Any Country,country_Argentina,country_Australia,country_Austria,country_Bosnia and Herzegovina,country_Bulgaria,country_Canada,country_Chile,country_China,country_Czech Republic,country_Finland,country_France,country_Georgia,country_Germany,country_Greece,country_Iran,country_Italy,country_Japan,country_Kazakhstan,country_Lebanon,country_Liechtenstein,country_Lithuania,country_New Zealand,country_Norway,country_Poland,country_Romania,country_Russia,country_Serbia,country_Slovakia,country_Slovenia,country_South Korea,country_Spain,country_Sweden,country_Switzerland,country_Turkey,country_Ukraine,country_United Kingdom,country_United States,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,snowparks_No,snowparks_Yes,price,total_slopes,beginner_slopes,intermediate_slopes,difficult_slopes,resort
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51,580,310,210,60,Avoriaz
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51,580,310,210,60,Chatel
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,37,36,21,12,3,Le Lys - Cauterets
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,35,4,3,1,0,Pont d'Espagne - Cauterets
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,49,3,3,0,0,La Grave - La Meije
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,61,600,312,216,72,Courchevel
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,61,600,312,216,72,Saint Martin de Belleville
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,51,250,70,130,50,Alpe d'Huez
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,61,600,312,216,72,La Tania-Val Thorens
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,31,41,10,25,6,Sainte-Foy-Tarentaise
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,50,200,104,70,26,Les Arcs
